R73981,R82968
R85451,R46498
R57345,R32038
R73670,R33819
R52083,R73690
R95958,R37933
R76152,R98636
R72546,R24968
R60328,R97743
R28294,R72438
R48926,R70814
R31224,R19752
R42233,R75674
R64585,R36940
R38541,R28070
R21967,R30603
R25617,R52758
R85055,R31695
R92659,R10720
R61648,R41088
R79898,R18731
R97143,R56903
R12836,R68283
R73104,R21326
R20463,R49585
R67849,R75478
R33160,R91370
R52238,R90348
R50984,R53611
R14178,R58329
R86440,R97997
R93145,R88068
R74747,R68021
R30608,R63535
R85798,R58339
R38638,R60154
R12129,R68247
R51950,R73880
R37836,R42383
R32260,R24940
R48107,R64779
R93624,R54792
R35966,R51440
R32011,R68212
R98028,R83460
R97961,R48161
R20003,R58951
R92940,R15663
R94703,R42048
R79890,R44218
R86605,R41096
R47965,R49181
R75004,R40063
R50933,R18973
R74131,R39597
R22850,R52406
R13158,R54483
R24998,R22294
R42198,R41240
R84327,R95798
R46652,R35576
R77192,R85095
R13547,R86657
R72663,R43447
R25847,R25426
R26250,R77541
R58051,R40952
R36875,R62930
R62375,R92305
R26471,R78696
R91989,R35031
R82929,R83684
R64036,R65253
R70029,R34817
R17528,R65513
R67654,R19590
R36922,R51225
R63229,R99393
R70124,R56658
R93736,R88466
R12861,R72696
R61924,R98998
R33641,R80233
R68907,R68411
R68181,R10031
R13701,R27626
R50363,R55829
R61578,R19872
R11334,R36925
R58134,R22277
R92504,R74985
R63314,R52481
R40897,R26896
R25852,R15892
R69505,R24181
R79515,R98872
R59366,R76839
R35310,R64521
R34393,R64753
R99902,R78342
R29276,R15749
R92481,R39831
R40654,R50963
R90705,R15702
R89913,R68007
R20963,R98145
R81055,R51043
R85623,R17385
R75942,R34332
R14381,R24947
R82735,R79482
R68320,R92789
R96291,R52054
R77992,R39783
R96356,R42118
R10443,R42376
R22017,R87872
R14208,R51269
R67032,R24090
R86326,R98249
R52503,R49234
R52767,R23032
R18914,R31930
R92581,R30238
R46207,R56931
R32703,R58288
R48847,R91944
R24293,R97740
R88707,R55492
R21984,R26618
R45992,R87925
R77118,R97957
R26965,R14219
R18613,R48397
R58078,R92404
R91826,R49912
R74603,R74197
R71831,R45472
R70533,R30940
R44677,R28225
R48051,R92858
R67765,R40062
R56306,R93599
R22811,R38319
R95575,R90312
R80221,R90108
R72802,R34679
R79386,R31106
R53366,R38199
R75142,R70298
R58867,R48894
R55210,R52373
R84839,R66119
R61844,R46200
R65976,R59910
R99322,R77439
R90817,R91662
R13561,R78650
R81528,R30489
R10509,R90386
R37368,R92625
R32994,R60665
R87936,R42016
R57392,R77592
R67538,R21617
R83189,R26285
R38608,R71861
R74827,R34354
R23188,R83888
R70308,R95329
R54924,R67105
R85596,R35611
R70022,R32824
R50425,R51153
R15802,R44827
R63379,R10996
R33650,R97560
R44793,R30110
R79536,R18663
R86031,R87071
R24622,R62106
R84757,R38942
R75366,R41436
R45826,R35897
R60625,R81938
R99568,R61709
R61264,R67059
R26235,R97913
R51732,R76344
R40103,R41018
R30625,R13679
R64967,R42276
R74759,R56685
R29865,R13940
R99572,R71430
R44792,R16615
R76701,R68626
R98472,R77565
R82321,R85640
R58657,R63054
R84369,R47388
R13810,R63367
R14757,R79436
R24134,R65761
R55819,R12514
R82819,R35285
R52730,R45976
R18140,R30654
R93355,R49926
R41597,R14214
R85397,R66681
R38826,R47139
R71091,R35601
R20632,R30186
R11801,R64536
R32543,R76201
R96773,R81373
R86203,R88950
R25494,R46349
R70080,R78100
R63962,R75138
R12217,R47043
R68422,R95951
R75672,R49384
R69162,R93574
R56410,R30370
R74508,R63596
R78715,R70263
R79920,R99414
R36130,R56883
R25710,R53071
R78520,R85890
R39344,R94457
R72042,R15214
R60902,R51235
R85628,R96887
R85120,R79379
R91481,R35594
R74210,R59059
R94576,R82895
R92540,R70891
R66883,R26601
R73726,R23535
R18554,R35306
R92298,R15703
R39019,R39991
R63961,R58632
R87301,R62024
R13301,R92309
R23869,R14952
R57028,R87151
R69649,R43925
R25651,R99884
R95989,R37827
R26094,R52431
R37810,R74749
R17478,R42936
R34213,R91330
R33730,R36486
R89105,R44661
R33693,R64179
R66791,R75520
R84487,R56312
R78098,R36551
R75221,R51208
R67391,R24124
R21314,R36946
R53684,R96237
R81527,R37047
R21358,R62356
R23444,R21883
R94489,R48484
R28015,R19521
R55178,R91451
R41461,R37538
R81396,R54816
R46606,R99019
R58803,R26861
R60873,R60728
R74668,R84233
R43382,R60590
R66228,R24930
R96921,R99966
R36607,R31349
R24527,R85995
R15734,R62509
R52027,R60226
R24386,R29347
R63643,R50131
R62914,R45198
R60825,R10548
R73256,R43502
R21763,R26792
R20088,R31759
R43723,R96180
R53851,R71343
R14016,R66157
R21058,R86754
R33703,R29904
R22486,R85014
R90620,R82635
R12485,R50735
R11510,R54556
R80024,R66185
R34966,R87406
R32286,R14809
R97795,R22122
R79714,R92471
R50069,R69608
R12174,R99336
R15600,R62336
R10196,R63286
R48871,R80843
R44092,R63745
R48779,R72954
R77340,R69066
R98664,R94110
R43440,R63957
R11023,R66544
R11429,R12233
R19144,R92827
R91828,R42172
R47577,R48905
R28066,R92503
R79134,R56803
R26336,R22363
R25420,R60015
R31672,R59459
R16867,R11211
R39054,R98586
R82161,R95584
R91672,R23724
R57513,R42932
R53948,R32221
R13706,R68757
R87590,R96421
R90859,R40521
R11279,R40534
R64515,R75642
R14485,R88850
R60517,R58129
R68616,R91464
R30714,R30601
R54246,R86569
R19454,R85366
R41636,R54332
R94133,R45149
R34134,R21669
R98243,R32353
R97791,R68396
R82437,R89990
R99637,R18503
R11921,R30444
R18752,R35241
R46567,R78404
R93663,R99904
R46058,R70745
R45036,R18852
R28315,R45901
R49931,R24926
R52497,R46622
R19994,R11381
R97107,R98877
R10300,R55807
R13555,R98756
R70253,R18209
R45808,R42097
R39202,R61797
R63215,R63499
R44258,R72059
R14360,R95810
R80799,R51311
R58125,R53060
R51752,R35709
R32152,R26143
R25120,R63762
R13677,R74545
R29443,R69290
R63601,R76985
R68382,R60695
R11422,R88184
R38761,R89561
R76339,R68535
R92379,R83409
R15265,R88558
R74841,R77284
R57895,R17304
R54380,R68171
R20574,R79378
R40821,R42505
R59359,R37857
R11595,R73496
R22706,R47078
R93246,R18966
R94122,R50107
R83592,R39455
R44003,R70136
R93198,R54561
R50424,R34114
R74065,R79737
R36157,R57965
R51526,R83538
R60039,R53075
R58119,R68142
R38864,R91811
R58401,R79674
R86813,R51024
R98426,R61764
R37505,R58215
R22883,R78099
R68971,R44134
R62960,R91936
R83035,R70604
R22467,R14874
R36135,R40482
R98294,R71566
R64023,R78315
R19724,R37049
R62524,R28350
R27055,R18127
R42470,R85970
R62255,R93364
R45728,R52257
R32795,R49164
R60904,R28241
R62939,R58743
R79610,R65415
R91319,R30734
R61458,R28380
R63982,R42182
R31089,R71151
R97304,R95316
R97860,R65072
R25154,R71340
R42467,R79015
R22237,R89908
R95697,R88880
R58896,R22835
R71514,R37229
R56879,R26486
R19410,R65396
R15687,R45618
R65373,R51315
R56158,R80602
R59298,R50567
R70981,R12002
R48287,R64789
R93397,R95610
R45074,R61845
R57789,R55508
R67563,R72854
R30691,R93998
R55670,R39172
R59240,R59463
R16866,R30771
R67413,R60875
R23148,R61655
R72295,R73109
R43976,R69821
R28973,R92871
R25741,R32572
R59712,R49656
R52056,R35733
R77112,R51230
R78127,R23015
R32591,R58214
R79470,R93970
R88115,R97921
R66757,R34141
R49767,R73914
R91881,R24501
R85293,R96440
R76747,R58574
R59280,R56563
R49305,R96985
R81059,R99198
R26572,R21338
R81401,R64866
R67980,R37946
R32916,R23409
R91732,R29662
R78788,R98185
R30623,R99689
R23758,R42746
R70643,R90893
R53165,R99321
R11478,R29632
R36352,R78327
R26267,R41314
R52365,R24446
R92779,R62772
R27540,R13574
R59385,R59338
R94066,R51673
R18043,R47265
R92066,R52282
R97264,R46972
R71205,R37101
R37850,R52389
R30061,R41844
R66759,R58424
R85601,R42015
R97278,R59345
R52065,R62844
R71080,R34181
R73601,R80637
R76522,R46801
R87152,R64205
R56792,R36430
R42476,R66919
R20797,R78676
R62214,R93522
R83471,R28672
R73404,R97686
R28585,R65430
R67696,R43424
R80302,R34388
R39999,R23423
R33030,R98990
R14319,R58575
R82298,R79768
R29998,R82707
R90198,R89838
R18366,R80535
R77059,R59303
R62677,R15422
R20442,R53693
R91959,R44515
R94180,R81264
R84028,R67209
R18315,R15210
R30614,R54244
R65087,R87982
R20894,R36585
R20896,R16621
R59218,R70440
R81722,R33824
R65810,R63201
R92896,R40118
R17542,R23111
R20416,R99508
R81339,R68649
R93800,R14318
R57795,R57410
R34857,R47350
R91872,R57636
R70478,R99835
R24306,R66066
R98556,R82461
R49134,R17451
R33485,R20818
R82493,R76892
R11122,R59930
R77934,R49945
R83757,R10107
R34105,R74014
R59287,R27415
R68316,R25565
R44718,R39674
R48577,R28842
R99199,R59779
R19638,R60196
R19618,R23569
R59496,R64868
R99825,R41054
R50404,R15711
R68592,R87492
R60576,R58557
R80258,R33036
R78674,R45815
R86894,R73158
R89449,R80675
R89743,R85521
R69080,R90765
R18905,R75098
R96685,R96148
R61374,R97422
R13584,R73315
R93594,R18734
R65464,R46980
R77315,R54540
R80351,R98901
R85103,R64805
R88046,R88006
R79931,R20481
R58077,R45539
R55609,R68926
R67588,R75792
R74323,R36174
R98422,R40531
R39583,R38344
R91056,R25159
R70000,R30952
R42611,R40764
R72465,R29115
R61265,R43006
R12622,R69962
R82129,R94860
R83448,R34401
R18038,R63020
R74051,R20782
R86970,R57021
R73471,R56284
R40808,R26680
R45489,R74463
R19701,R20671
R61151,R53344
R61902,R85590
R53953,R15940
R13805,R83073
R23271,R25071
R77706,R37945
R94392,R48532
R32139,R55883
R83126,R97678
R21177,R17331
R18511,R81338
R42818,R76469
R29447,R47309
R56170,R44019
R62239,R91323
R11497,R54134
R29847,R83355
R25138,R20961
R95854,R13384
R53718,R81652
R79936,R86187
R32748,R25026
R53870,R85677
R42043,R99683
R70561,R42866
R33136,R83301
R21774,R62117
R17728,R35211
R23525,R47617
R57156,R83292
R70989,R71411
R27203,R73194
R25764,R56014
R40210,R13542
R68568,R42985
R81822,R20001
R17013,R32815
R75651,R92181
R74609,R95382
R93110,R65400
R15259,R88054
R40194,R95137
R79734,R35212
R89878,R68195
R66351,R96131
R13494,R65560
R97050,R30610
R24563,R79848
R73089,R12682
R13546,R60421
R98698,R52146
R31264,R33385
R64292,R74354
R30250,R27420
R30951,R60286
R36297,R74991
R23647,R99257
R15823,R12060
R62217,R31235
R89827,R13773
R53110,R19997
R14722,R99045
R54890,R68858
R60002,R52615
R68040,R45280
R36548,R17775
R24371,R35866
R81481,R83834
R48480,R93936
R69673,R22834
R64183,R63668
R54445,R94174
R84768,R90942
R31942,R82822
R43559,R12337
R14426,R41958
R96205,R77356
R47690,R45501
R29352,R41090
R59124,R73572
R28773,R82991
R44996,R82667
R16987,R12873
R54823,R43788
R60764,R28730
R51694,R83379
R54550,R76732
R25593,R79056
R11561,R14900
R82231,R67077
R79572,R95959
R35523,R77760
R85857,R19801
R85082,R94105
R72682,R35043
R76497,R95376
R39191,R53310
R85841,R72720
R68800,R81835
R64569,R34175
R80385,R93170
R10699,R46376
R52821,R25153
R54267,R96511
R97591,R17561
R34508,R87175
R60758,R66485
R71842,R64692
R78800,R87046
R42186,R50731
R31499,R52513
R75026,R36861
R38685,R73181
R31622,R82561
R35335,R89894
R91082,R73184
R39731,R63597
R28082,R33401
R62206,R25855
R47589,R96389
R28819,R18392
R20779,R17327
R79780,R46713
R41879,R48466
R67181,R22141
R70924,R69359
R78020,R27632
R27487,R66169
R60167,R26080
R59574,R51567
R76721,R26987
R42265,R33458
R43335,R52700
R71736,R84568
R84686,R89592
R45891,R77448
R40302,R18458
R42604,R31475
R85260,R38100
R90659,R72620
R94248,R34387
R32478,R25165
R17935,R71024
R60558,R53949
R82026,R67331
R27455,R27193
R49331,R23198
R44026,R38467
R24937,R51271
R65416,R47008
R12269,R57243
R69886,R46432
R68528,R12688
R90004,R65580
R33808,R55165
R44371,R53423
R15060,R77613
R80621,R55071
R74975,R66202
R77977,R13714
R47027,R93676
R33935,R27148
R84896,R24434
R31015,R71403
R71700,R62372
R66828,R75019
R16276,R82162
R50708,R20123
R77704,R34107
R27252,R91450
R64907,R51201
R71913,R46431
R67580,R15135
R40514,R44252
R60712,R45366
R80207,R34013
R86311,R92632
R63579,R25174
R19407,R37253
R84475,R22955
R69850,R23117
R28923,R45066
R33595,R24028
R76095,R91282
R24078,R79803
R85855,R24151
R12405,R85386
R46070,R32399
R48567,R81980
R35857,R94309
R97177,R60449
R69229,R57813
R53048,R29834
R89739,R68416
R21817,R32326
R40713,R27403
R66192,R32502
R89729,R28125
R10910,R38345
R44875,R65239
R36274,R24903
R31356,R87829
R16252,R44417
R97652,R61482
R56409,R50038
R43868,R29196
R58922,R77807
R39451,R42136
R85116,R28894
R39853,R89877
R59760,R45102
R53246,R17255
R52992,R48061
R78054,R99914
R90091,R74875
R36944,R24671
R99130,R87832
R49229,R22987
R45487,R19401
R25484,R37343
R21469,R48332
R65200,R58708
R64418,R33715
R60314,R90739
R32280,R97294
R52170,R59159
R36581,R31393
R79675,R26754
R68042,R68930
R72136,R24427
R50982,R90269
R41266,R93554
R28148,R20952
R84166,R58417
R90787,R19680
R60611,R77076
R75383,R81597
R53244,R22394
R55072,R82744
R69284,R97980
R36948,R44735
R38108,R96181
R58303,R43162
R19185,R29524
R23909,R29256
R34907,R81376
R17284,R25837
R62138,R65110
R41742,R27256
R58993,R25824
R25914,R53086
R45778,R89852
R20518,R16191
R93130,R43712
R19039,R12085
R18684,R64909
R92083,R89039
R76686,R53149
R13144,R52254
R73375,R70082
R76386,R74843
R34346,R29199
R55530,R87186
R61619,R59148
R21403,R44425
R62082,R98188
R77036,R93343
R47736,R82975
R92284,R93339
R66013,R39392
R83966,R43443
R76292,R22771
R74873,R49728
R63016,R44527
R94741,R84784
R50593,R53909
R76874,R86917
R15478,R22222
R32320,R75179
R74592,R22230
R90894,R27385
R93363,R60288
R85772,R38012
R51726,R17159
R77580,R84861
R93546,R47041
R38861,R77864
R17508,R14869
R67751,R51405
R98415,R49502
R43489,R39338
R69236,R12791
R55568,R50169
R37079,R23257
R71522,R84237
R54919,R87479
R84318,R41868
R30891,R12624
R11093,R65764
R81107,R31986
R18586,R91935
R28242,R14614
R57454,R17074
R60820,R83145
R69511,R87655
R66478,R35488
R49871,R85626
R69625,R80484
R90796,R94650
R98788,R95746
R27755,R53617
R47848,R42695
R40214,R29109
R69084,R91492
R63852,R36854
R76242,R35917
R36871,R89169
R72862,R29727
R64395,R77305
R82839,R74573
R12620,R73936
R69753,R41916
R41983,R70235
R90858,R97284
R55580,R74903
R31190,R96898
R96806,R77982
R89948,R68127
R84793,R19291
R48162,R97854
R82580,R50702
R18211,R62538
R50093,R53083
R26557,R27195
R78109,R98277
R87440,R72440
R65242,R76060
R57800,R40599
R95922,R13119
R93352,R35586
R11868,R76006
R35131,R47986
R14906,R27604
R83786,R36794
R49623,R36622
R23875,R35914
R66410,R73433
R46969,R20296
R58300,R34053
R82389,R70156
R56552,R67069
R97656,R88676
R48440,R70694
R62297,R42993
R54551,R31580
R71531,R53602
R91523,R86145
R36746,R71944
R22928,R29004
R73395,R80109
R55442,R21586
R92006,R58921
R20847,R72755
R68016,R79217
R96438,R23010
R56733,R77090
R18120,R85886
R37516,R73485
R71795,R14131
R27197,R95113
R91155,R39159
R11214,R57748
R10575,R63152
R23112,R99190
R90382,R21666
R14140,R70204
R35652,R88681
R98338,R41540
R78516,R65500
R77281,R48559
R31574,R64489
R81230,R14998
R26571,R67885
R79278,R75530
R15792,R16524
R68327,R47059
R24779,R14184
R66420,R29782
R17635,R74084
R28968,R16717
R58451,R60748
R60609,R31206
R71468,R19267
R26507,R78074
R38922,R82440
R29870,R69635
R51220,R91986
R57787,R76417
R56709,R61261
R37562,R73162
R14317,R56499
R94755,R71197
R31857,R24653
R54840,R26590
R15304,R62764
R39201,R46005
R79892,R21723
R51600,R38098
R73008,R82213
R57435,R71356
R46605,R54377
R36786,R92218
R56309,R82986
R95900,R69341
R27786,R43394
R56367,R84811
R92173,R89886
R13615,R79140
R19250,R61788
R21446,R17890
R99065,R82686
R26261,R99521
R46941,R18949
R59659,R83659
R90139,R36488
R89646,R50159
R35446,R13413
R71885,R84159
R55414,R82387
R49140,R41965
R27023,R97063
R60789,R39142
R87989,R83334
R41642,R63018
R76052,R54608
R37246,R77404
R99243,R84609
R30432,R60971
R45300,R57645
R64927,R94636
R66259,R92653
R58284,R34689
R63748,R53970
R13459,R62245
R85079,R50062
R45115,R69000
R95967,R57897
R42966,R47516
R56473,R54172
R55957,R88594
R29127,R95580
R89685,R69952
R69980,R31261
R94049,R88516
R66750,R31412
R33643,R13422
R23518,R44280
R73165,R57704
R37356,R71231
R90028,R26553
R68118,R21041
R65163,R74320
R19722,R72612
R57227,R98905
R34714,R55515
R51912,R46551
R86582,R39643
R25467,R41178
R68624,R12226
R47477,R48253
R93573,R10170
R25867,R38700
R23947,R35701
R90877,R62170
R36284,R40251
R56361,R27180
R82727,R14985
R61051,R34712
R99143,R29163
R28134,R47393
R41921,R55152
R20202,R22683
R85492,R47057
R85393,R72655
R18532,R69040
R22001,R57898
R49756,R29594
R28671,R67446
R58785,R97382
R97421,R82375
R63781,R94305
R39230,R41157
R43884,R78590
R97052,R80665
R73386,R70033
R66863,R26053
R30200,R42286
R97150,R75999
R50441,R36722
R21550,R81187
R92487,R28879
R42206,R59992
R32315,R71477
R11485,R47513
R70190,R73594
R23000,R54386
R82072,R49361
R68562,R28491
R30247,R77412
R48182,R70497
R20268,R23262
R58606,R50429
R15321,R48785
R79919,R70575
R43505,R63332
R38752,R34639
R56012,R56450
R78483,R59408
R10643,R86675
R22146,R49346
R23038,R64504
R33695,R74305
R15581,R90743
R91552,R20312
R98252,R45846
R68219,R69653
R46301,R74531
R24733,R37451
R92819,R79975
R93739,R82225
R76030,R56781
R72646,R30185
R40095,R63126
R59094,R16375
R22494,R37493
R21267,R73788
R18328,R49833
R64837,R60294
R99997,R98671
R14658,R97829
R35237,R86995
R87593,R50273
R70324,R92815
R94862,R38797
R84297,R55750
R78659,R65968
R63619,R23720
R37415,R84348
R25250,R15228
R54408,R32204
R93858,R21886
R22852,R12334
R82527,R40279
R61054,R84919
R34448,R87508
R19640,R17347
R64750,R73870
R60553,R34237
R51706,R27617
R61752,R32079
R97562,R23295
R86295,R11518
R79276,R62617
R83610,R34592
R28803,R85407
R64248,R62590
R90057,R60360
R10197,R39398
