R812359,R865251
R593122,R661534
R686856,R931925
R295592,R375291
R115271,R522725
R526782,R820009
R611889,R431273
R232314,R534911
R820007,R461397
R245669,R141554
R805682,R398521
R325270,R461775
R285918,R373066
R663664,R238880
R436986,R735424
R687718,R802886
R332323,R343092
R585533,R528863
R676662,R105235
R233929,R221338
R555923,R748080
R441546,R461365
R319528,R665893
R958635,R740928
R963037,R669096
R794201,R305550
R965895,R396487
R105445,R554276
R218430,R634560
R157294,R888036
R532001,R400255
R675325,R271748
R721838,R850604
R115007,R774897
R655047,R357877
R801049,R488427
R626288,R812553
R938855,R474670
R877942,R378178
R970394,R837725
R247650,R556411
R464793,R517387
R266509,R744342
R648155,R686835
R930543,R318042
R560454,R586162
R118986,R475644
R457486,R878001
R487288,R627820
R658101,R496903
R158079,R615263
R540482,R531773
R156866,R911799
R288029,R445038
R224612,R381825
R808188,R461463
R390270,R754609
R316824,R191008
R378705,R804289
R603113,R624355
R313955,R624589
R871113,R267841
R688725,R102935
R447523,R948415
R160950,R121788
R626965,R411302
R764801,R860593
R605380,R836932
R890930,R218012
R775063,R105284
R334694,R206617
R299766,R711544
R627080,R295714
R694745,R662131
R136271,R409274
R668812,R510119
R204745,R390001
R826135,R982340
R469181,R939097
R465633,R781832
R859043,R509206
R716279,R773639
R329754,R899528
R697757,R997041
R659642,R709230
R200474,R591945
R350512,R758256
R914971,R508261
R278698,R406315
R933293,R890118
R674820,R308629
R129928,R261389
R403846,R971351
R426717,R379717
R155304,R623765
R899995,R734925
R133446,R740506
R328877,R234411
R545125,R262678
R723657,R656074
R859101,R815051
R114838,R798486
R804578,R353888
R921318,R283292
R614938,R846537
R188281,R958588
R354028,R158379
R565431,R463834
R309212,R873780
R952978,R706378
R469307,R304029
R986071,R869623
R391401,R178132
R312869,R689993
R494120,R880195
R351287,R634953
R631453,R991061
R120635,R402899
R267334,R537524
R492826,R326711
R833659,R857975
R759573,R485165
R386462,R805200
R429227,R239090
R570024,R153490
R462737,R728922
R796379,R125868
R167732,R330812
R375182,R806780
R864526,R923845
R722693,R119857
R881889,R248624
R112891,R196348
R772903,R452491
R495176,R906204
R106319,R744584
R729891,R948613
R868319,R159646
R787464,R690958
R819580,R973625
R471881,R338037
R675082,R710790
R759553,R204010
R680650,R908623
R261799,R463951
R184416,R643390
R703550,R744223
R826887,R275500
R217080,R852557
R706848,R192025
R773215,R636432
R909865,R823136
R332965,R177247
R941246,R279646
R735114,R763583
R250603,R300212
R165677,R850505
R414392,R419900
R328942,R493995
R460796,R540561
R655399,R812699
R777694,R784907
R152402,R256452
R261632,R549061
R156055,R459464
R629825,R409380
R225249,R716212
R867238,R141447
R498852,R868765
R819000,R190045
R615059,R978731
R957306,R635273
R624722,R956887
R613127,R504576
R537119,R498674
R318499,R990236
R555711,R556897
R640008,R375722
R270769,R186876
R623508,R918613
R263026,R499783
R125364,R268443
R400551,R286567
R207658,R889112
R329958,R107816
R427317,R520465
R898196,R218669
R227743,R436996
R142484,R707953
R823394,R202556
R130850,R649108
R203119,R479763
R661986,R263864
R570308,R959675
R906429,R419728
R268354,R387571
R247816,R850812
R783587,R408145
R434866,R593681
R637237,R731947
R403283,R805550
R680536,R697033
R567358,R546339
R150249,R312018
R785984,R388959
R319415,R719691
R381021,R824380
R587463,R794354
R684658,R391770
R405723,R895603
R187661,R268554
R398842,R417590
R713756,R854572
R707516,R260429
R562761,R874280
R786828,R337734
R283615,R830124
R510857,R326063
R348823,R595781
R798812,R266441
R685032,R201096
R997038,R303357
R453686,R770457
R899047,R997176
R335024,R929803
R983045,R633249
R114396,R420791
R680069,R291538
R697940,R745812
R154575,R225263
R771689,R540890
R593715,R964313
R562053,R664583
R393053,R713012
R310499,R892243
R366776,R751193
R381038,R803821
R979021,R924616
R256692,R633128
R130276,R461157
R294048,R974002
R673985,R706443
R390801,R649199
R549239,R728368
R161895,R573068
R687300,R840242
R991112,R323521
R698166,R745832
R865713,R298342
R766013,R781408
R543085,R743371
R814545,R503139
R239966,R825571
R708320,R604611
R471631,R216425
R769882,R550741
R156317,R286065
R324680,R617981
R818458,R809273
R256442,R229301
R264185,R698162
R767736,R261425
R163396,R965009
R692582,R725120
R103648,R438231
R226532,R917344
R158942,R289783
R549295,R105492
R699353,R686776
R581014,R851227
R207648,R501062
R750928,R283907
R727670,R590308
R576033,R447600
R982310,R652426
R277102,R232050
R836145,R756436
R606952,R947567
R516354,R976493
R122130,R435650
R484890,R360359
R591925,R972845
R773950,R821120
R645911,R195080
R184230,R782074
R450747,R675515
R887917,R882402
R485081,R125140
R741789,R669328
R789781,R955385
R446774,R182370
R984053,R632553
R800906,R310302
R480407,R743295
R825234,R880611
R767830,R280549
R579017,R253072
R317468,R790486
R233505,R266487
R743136,R632799
R413468,R542815
R374615,R510391
R754304,R615097
R155214,R237197
R439160,R275045
R649473,R526899
R554516,R586601
R972502,R315429
R602135,R826563
R615259,R619540
R415860,R190664
R379047,R996823
R299320,R284376
R321279,R890041
R616475,R610833
R368102,R729792
R174518,R357812
R962456,R203647
R464685,R834569
R544936,R302094
R889454,R997922
R177170,R896860
R446536,R480072
R622478,R252235
R716988,R649964
R720368,R275480
R147965,R183341
R423331,R900281
R838581,R295304
R338834,R244143
R913257,R210263
R567451,R925444
R560672,R472685
R538335,R754428
R873176,R287795
R511693,R500576
R965720,R778390
R831419,R534909
R479001,R534350
R996808,R925656
R433932,R584705
R946384,R519985
R615348,R395400
R404141,R340527
R379966,R366954
R752328,R279597
R303399,R701514
R635937,R328447
R945930,R272201
R522567,R316885
R605833,R651199
R473839,R629046
R452099,R516217
R317426,R563145
R328993,R470468
R956648,R393152
R364220,R953118
R713296,R805908
R692709,R872093
R116700,R364965
R904756,R250579
R100378,R192803
R411822,R530776
R168918,R754170
R475679,R910438
R354880,R378244
R473563,R795431
R532816,R476911
R401198,R630191
R113258,R860320
R902797,R922143
R571227,R909027
R731267,R559622
R629401,R546018
R149661,R224318
R404085,R261063
R954518,R912784
R947377,R116338
R411016,R493753
R254659,R415211
R775480,R330697
R265353,R158245
R825402,R797410
R452730,R755821
R982634,R492215
R670330,R111045
R361888,R709514
R723522,R811039
R444747,R220667
R240099,R268519
R857079,R410875
R982866,R147019
R557434,R377189
R991992,R501438
R100671,R249579
R585689,R876597
R310699,R869546
R837244,R692982
R196166,R761578
R346582,R982880
R813315,R142421
R254653,R460327
R743788,R613484
R461951,R691063
R227080,R475130
R757589,R815862
R504559,R782650
R874593,R267323
R665273,R330505
R168890,R158166
R812957,R366684
R147102,R715717
R486636,R982928
R296433,R145339
R907998,R212547
R933359,R578392
R476905,R239916
R467505,R898406
R706055,R325746
R712814,R618130
R432572,R308682
R190823,R737946
R544521,R915470
R908713,R899388
R913570,R669950
R536329,R566653
R129512,R156089
R671658,R766776
R606843,R713783
R442563,R729344
R465972,R501598
R124540,R344393
R105115,R233981
R405504,R559327
R646147,R630418
R654354,R574018
R650056,R622664
R992613,R164817
R117804,R457582
R995955,R143370
R774407,R791178
R269804,R989190
R756198,R947836
R732460,R750232
R348270,R518193
R929154,R536755
R792632,R126830
R143786,R686018
R706621,R202296
R648893,R270298
R894553,R337007
R603746,R873088
R705030,R890028
R831239,R232475
R792409,R974127
R921962,R573696
R528161,R114485
R720257,R694212
R334542,R992245
R596664,R747835
R141703,R947153
R163071,R366338
R232566,R262312
R152956,R480276
R487984,R205407
R489398,R554352
R731281,R756041
R136217,R301893
R135073,R387800
R786222,R712354
R903076,R255828
R976998,R453109
R472514,R382869
R152310,R194913
R835378,R565549
R673463,R776266
R158362,R988661
R667900,R886498
R699324,R717650
R388125,R472515
R919222,R815802
R165557,R554497
R129400,R466008
R683014,R666927
R530681,R667737
R242869,R861830
R177771,R119644
R641592,R752450
R491930,R313809
R313066,R212432
R812138,R461284
R160608,R826945
R761132,R686539
R877536,R235356
R326472,R179593
R515451,R596675
R628019,R289806
R221652,R206291
R106634,R672155
R395875,R753817
R407145,R684236
R520174,R226103
R731629,R286017
R899499,R364826
R347805,R466425
R761990,R565929
R487547,R312188
R217329,R811087
R900036,R138495
R833956,R766901
R553271,R350071
R151139,R365226
R864878,R494423
R566405,R257401
R759438,R598669
R242509,R587764
R985349,R370197
R842120,R523945
R362800,R578272
R921750,R909940
R883768,R169293
R759336,R400980
R611367,R208331
R770750,R476747
R225573,R581292
R460390,R667698
R936857,R138850
R702018,R634104
R814879,R178708
R827387,R884845
R391096,R185122
R446546,R213525
R328972,R848791
R618282,R118928
R180354,R233436
R877466,R758533
R581834,R510005
R680327,R765553
R338370,R940222
R864530,R358916
R350619,R207754
R310425,R555088
R676545,R136535
R887593,R808033
R192275,R376795
R990682,R928744
R363376,R222528
R994819,R348816
R603038,R988675
R964853,R608584
R655408,R459954
R173123,R971855
R436267,R597231
R693289,R399632
R929467,R743133
R682813,R694724
R508792,R120091
R235846,R294622
R610977,R512963
R649330,R817051
R800930,R287587
R642374,R175854
R952792,R718050
R350425,R784818
R473756,R973000
R511723,R351843
R930765,R372735
R914040,R145338
R150804,R803619
R400633,R366759
R695363,R465753
R710916,R225414
R163147,R527195
R582336,R611347
R852360,R448432
R527955,R834317
R496259,R544389
R634169,R400299
R746211,R222967
R468749,R372490
R297292,R361672
R918153,R790973
R453273,R706471
R419636,R453010
R913852,R485616
R306866,R868143
R178269,R526228
R219430,R609934
R946880,R343613
R975215,R453466
R670513,R326705
R827499,R100184
R850418,R710841
R885221,R295944
R112344,R474370
R302805,R147421
R193564,R603259
R514635,R198178
R991012,R969334
R807885,R691763
R526278,R276820
R730643,R715105
R294359,R865661
R570423,R710371
R112130,R352518
R170416,R146417
R188677,R146615
R985415,R137850
R358120,R933175
R476572,R669600
R396120,R777738
R995850,R870577
R731983,R585200
R282309,R521326
R881229,R684290
R421821,R185019
R424294,R634738
R518805,R924467
R733632,R928618
R185426,R481622
R163569,R735010
R970672,R480422
R497911,R515656
R657883,R388825
R603461,R823822
R252602,R552077
R307804,R127483
R565420,R879908
R995184,R554652
R755716,R232742
R517014,R858127
R457082,R161474
R390978,R233552
R926069,R961996
R872495,R238988
R161971,R223207
R673808,R934258
R848139,R355513
R594587,R147793
R653466,R680770
R424223,R218828
R552617,R944628
R515290,R612839
R778937,R588709
R876018,R224158
R981245,R170249
R468439,R437679
R921568,R300161
R265175,R535440
R817687,R792484
R816301,R534814
R693429,R193023
R992596,R661966
R795940,R434802
R983253,R378904
R281138,R607074
R822474,R744321
R863366,R606742
R752896,R691026
R344090,R429090
R672821,R322796
R126143,R899237
R973166,R853455
R666199,R336603
R315207,R356254
R232350,R412697
R131229,R889487
R263520,R768910
R627025,R479727
R730361,R859437
R642517,R557703
R155220,R534393
R682825,R421727
R210901,R841631
R264371,R930643
R700765,R387121
R746894,R961693
R929575,R583347
R222409,R908878
R851355,R509355
R573726,R340678
R516759,R583340
R246787,R639273
R392061,R105992
R458806,R539166
R184654,R444666
R591061,R486583
R497877,R568249
R615508,R794549
R244943,R843618
R586087,R214238
R720351,R998713
R192990,R971864
R548045,R766587
R429954,R165298
R910526,R103588
R228842,R440953
R780542,R107593
R772899,R430121
R245869,R314743
R862049,R124085
R520291,R162282
R338970,R840714
R443217,R621222
R672637,R793270
R162579,R286509
R849112,R232420
R920666,R929316
R140850,R755501
R372187,R556936
R263631,R978988
R428674,R453088
R910823,R105306
R552905,R945640
R154718,R698644
R867396,R463620
R462250,R814886
R776017,R635310
R374302,R674005
R896188,R964479
R798167,R423734
R436588,R582085
R635926,R972000
R539918,R843343
R811038,R895762
R269748,R427497
R747132,R806057
R239328,R332999
R838954,R647217
R683783,R174266
R582866,R795565
R193054,R622900
R357976,R635985
R301752,R284772
R458677,R155239
R207271,R908780
R206805,R612158
R685791,R360808
R350978,R668729
R241267,R464917
R262676,R451154
R879257,R867303
R424763,R135537
R743612,R803090
R489630,R910465
R301564,R357839
R118473,R731810
R342834,R860616
R437200,R877779
R491699,R201068
R980938,R397252
R811843,R384412
R496361,R518648
R905241,R915467
R941277,R157065
R771184,R484717
R733749,R328853
R772267,R408278
R543544,R536216
R340169,R859952
R875928,R447772
R411509,R432112
R355382,R119522
R672751,R169669
R340580,R389273
R352939,R356512
R348508,R547268
R682166,R990896
R237065,R138942
R793945,R843704
R619967,R195953
R246545,R891315
R644576,R969480
R949669,R239687
R311553,R817764
R594166,R868771
R779131,R853883
R562099,R652302
R213956,R682759
R929430,R442824
R334199,R549154
R708994,R227472
R484609,R494328
R405726,R409496
R283112,R730413
R710161,R695016
R432328,R291773
R973056,R609953
R159424,R788924
R371385,R647400
R786670,R111437
R191563,R568600
R156393,R546048
R368068,R481972
R392641,R419419
R530857,R746949
R275991,R953387
R357031,R335102
R336117,R906632
R810616,R680468
R241282,R453504
R892187,R155280
R346533,R818092
R750073,R348303
R867614,R476861
R723780,R747036
R785886,R103960
R399053,R164774
R694184,R346279
R344304,R796678
R380286,R357286
R605174,R735236
R651720,R292799
R204248,R452060
R528893,R314175
R730422,R975889
R796417,R911471
R524589,R950453
R354764,R984816
R518335,R806174
R377818,R296181
R838731,R554612
R163752,R361323
R553125,R840855
R603048,R274563
R478328,R342960
R907934,R405709
R934799,R854607
R216649,R868056
R122454,R116974
R872554,R786237
R128837,R303629
R290847,R677022
R639043,R935208
R307049,R782475
R752121,R530821
R138101,R921681
R633737,R947367
R265908,R659559
R847699,R474682
R213831,R608798
R392838,R887475
R971129,R889612
R815003,R887007
R924154,R951407
R915848,R485891
R678903,R921435
R580380,R691998
R115124,R401961
R461473,R178485
R850567,R620052
R911984,R348113
R127168,R925460
R303144,R346952
R999372,R409259
R404436,R295879
R596158,R414664
R466403,R501638
R668624,R849368
R380363,R639185
R583602,R646339
R818977,R476028
R361253,R796503
R456412,R509832
R420696,R258797
R156703,R883005
R929819,R185435
R254794,R643669
R715166,R842117
R581086,R294066
R507958,R243238
R860407,R440045
R297858,R612519
R115844,R545371
R631197,R148548
R317004,R394656
R257996,R430914
R343236,R144853
R484897,R308010
R217598,R406648
R426776,R606059
R613260,R949144
R832655,R703581
R390272,R427817
R606903,R956676
R105974,R264114
R611368,R801996
R659560,R709060
R793178,R549707
R635324,R574027
R452329,R412813
R128004,R584949
R489888,R301148
R623954,R907711
R908045,R160261
R790096,R171179
R230245,R455431
R123576,R322311
R642410,R422845
R336527,R394321
R873934,R561806
R739961,R791517
R560071,R771251
R380633,R690553
R763814,R681629
R452387,R610139
R871747,R457988
R926793,R919955
R737741,R969493
R477412,R318475
R864822,R516692
R960334,R867297
R180991,R522797
R111983,R128041
R780147,R190307
R154551,R309125
R956552,R335933
R424419,R497370
R999914,R107024
R529197,R410858
R506710,R162558
R970717,R356726
R999224,R890932
R308071,R779472
R399217,R764387
R171029,R571539
R993348,R725775
R569310,R388917
R475157,R471163
R265621,R738966
R351068,R311129
R554584,R370026
R865874,R570346
R741782,R868186
R775676,R512225
R940245,R894899
R644634,R331220
R601050,R226428
R628902,R708557
R132870,R716583
R675022,R603725
R616731,R259555
R139331,R207836
R906570,R433740
R808372,R883438
R250081,R617119
R917498,R130746
R100431,R282054
R682187,R693559
R452892,R892274
R255111,R540955
R539072,R794223
R840396,R734608
R159684,R649052
R835101,R371996
R346919,R447967
R462171,R612378
R976304,R179827
R436024,R517615
R532642,R943083
R984349,R713261
R861117,R419261
R212019,R979224
R130828,R956142
R430469,R868422
R905821,R701776
R113426,R359853
R524036,R602860
R254491,R486666
R237327,R488599
R406988,R107961
R375858,R382061
R511153,R441103
R204150,R567704
R821460,R861522
R330874,R663358
R995323,R245917
R663054,R484581
R474029,R986624
R941195,R868599
R511037,R903413
R823139,R705566
R816739,R378931
R989183,R682232
R371262,R621395
R625887,R687622
R665941,R824675
R655740,R990419
R316277,R375471
R745881,R978202
R729722,R792238
R828090,R798505
R899889,R488193
R924346,R680175
R250072,R942273
R220044,R121236
R154894,R355741
R790092,R220428
R818797,R479458
R778963,R970734
R991074,R923425
R605570,R740838
R464047,R229527
R818340,R595260
R932655,R842639
R117985,R311044
R287336,R476929
R791862,R159592
R738757,R274941
R523570,R998102
R302164,R283592
R617268,R560169
R356052,R838310
R866267,R790879
R467918,R387706
R526186,R664719
R638872,R489682
R487765,R227605
R213939,R315674
R184180,R493583
R897303,R663316
R585239,R668947
R485202,R521521
R810583,R971915
R973266,R337023
R319784,R114334
R877580,R967588
R877825,R349042
R268212,R328298
R811098,R289403
R520384,R607937
R663599,R787797
R771229,R756983
R756556,R509992
R639058,R645473
R710972,R919863
R775275,R346293
R599136,R998795
R349214,R474617
R809223,R548827
R968366,R902012
R224864,R725656
R536180,R487369
R427402,R738034
R266817,R821466
R216212,R185251
R390863,R672058
R106873,R502387
R681155,R810920
R425530,R149377
R125334,R787684
R906671,R233647
R624354,R326513
R567724,R746036
R113477,R160105
R308107,R395921
R984455,R922189
R827538,R127088
R915162,R631429
R776641,R774436
R910430,R351834
R642954,R382709
R208656,R462582
R414168,R620938
R919469,R926036
R729588,R320885
R158673,R915143
R736585,R529140
R636247,R994858
R800003,R819248
R908726,R639579
R715106,R172970
R658607,R530268
R174427,R113447
R141499,R745596
R169646,R977972
R847405,R293163
R402556,R344044
R896936,R753972
R537236,R566421
R348917,R136668
R202796,R484932
R396838,R664123
R747161,R529799
R142869,R254309
R434200,R376279
R346355,R458910
R868795,R928249
R212697,R175866
R550428,R630483
R823693,R591532
R342353,R188316
R597393,R722952
R988821,R626549
R253215,R273619
R389475,R368248
R345806,R846982
R415777,R416517
R354281,R183563
R812332,R807134
R146802,R516558
R544932,R817633
R712020,R177318
R951449,R475842
R234879,R859791
R450812,R854442
R922773,R472135
R360393,R834347
R249392,R987808
R965497,R637491
R632093,R445840
R406483,R961978
R801606,R720078
R984467,R748170
R552296,R905836
R798584,R552539
R244320,R750957
R648426,R106757
R616501,R197203
R748545,R612875
R788038,R524692
R284180,R474592
R710796,R413260
R315356,R606981
R862617,R438941
R402093,R173876
R805239,R523925
R946357,R316336
R927213,R929404
R378097,R399209
R308832,R282184
R318139,R262143
R545714,R189010
R572814,R697208
R787315,R140808
R862966,R860242
R729566,R141591
R281717,R183164
R649399,R396060
R137984,R547272
R732364,R515328
R529127,R550149
R827958,R630174
R227750,R483036
R688298,R383691
R475570,R610224
R334184,R989279
R849326,R950368
R378811,R383301
R328833,R270719
R829646,R602951
R231092,R397616
R405639,R142833
R819661,R305377
R860456,R751309
R438690,R202842
R753787,R379703
R237645,R169760
R488359,R386773
R711029,R614700
R678402,R773539
R681074,R801398
R830280,R434514
R514976,R752048
R467449,R405882
R105367,R210704
R805213,R935403
R780735,R824729
R901985,R480554
R239343,R821747
R645427,R701586
R547454,R618955
R389359,R284075
R982153,R947516
R413942,R567853
R826318,R580800
R786287,R211257
R160065,R997508
R368664,R651173
R646378,R751244
R335813,R556962
R167647,R716366
R752318,R766372
R407681,R774181
R384833,R871015
R729955,R218371
R229510,R936998
R489468,R908020
R906630,R352202
R944715,R722391
R903915,R189577
R692009,R657067
R724055,R982176
R613593,R267671
R907314,R367587
R382645,R865141
R444842,R487091
R183359,R121768
R369267,R168640
R151779,R475455
R332469,R757391
R475740,R399996
R332106,R857751
R519820,R209704
R569473,R903632
R224479,R700712
R254883,R161462
R644439,R801964
R467119,R791698
R830521,R380684
R414051,R218271
R725873,R278948
R207317,R732079
R248026,R943841
R563051,R741172
R902511,R143167
R719075,R490623
R735033,R976482
R280038,R859346
R267080,R993942
R524109,R258319
R542797,R441989
R896205,R964279
R702617,R794515
R811404,R280831
R530077,R207558
R430244,R236754
R563116,R568543
R227719,R544251
R762927,R280151
R784077,R741785
R705141,R240630
R920768,R517306
R953727,R903839
R515468,R521981
R984838,R374543
R923316,R691495
R209141,R553431
R681687,R703185
R440499,R887274
R937897,R397289
R843682,R460764
R113352,R315467
R937577,R788958
R120129,R503079
R849580,R433383
R400051,R199812
R137603,R786539
R849560,R573750
R369864,R998381
R956852,R646725
R677580,R344001
R927033,R444576
R967910,R391740
R515799,R416805
R634160,R308643
R129701,R844243
R580366,R289682
R555654,R710289
R978607,R539133
R349499,R141427
R477026,R168095
R345793,R250627
R831451,R530189
R438357,R551835
R563568,R210567
R360347,R304630
R643217,R790762
R297545,R740994
R893168,R809304
R899762,R700415
R899141,R243564
R804069,R314595
R103299,R127210
R200755,R731152
R766741,R172260
R114259,R170917
R850861,R275631
R407052,R897691
R649978,R128479
R311197,R833031
R356184,R546023
R262740,R342758
R431211,R301210
R669122,R272297
R595008,R938454
R338000,R661632
R307838,R922097
R222555,R505374
R521270,R579675
R785183,R379028
R813804,R572572
R721997,R955896
R415329,R714035
R695380,R358145
R402060,R495540
R258877,R320960
R733013,R612354
R982583,R315618
R617986,R909400
R321203,R641300
R752093,R830393
R376644,R558179
R851636,R387249
R840613,R978908
R927677,R470597
R785457,R379147
R576061,R804149
R101954,R215096
R708312,R261069
R832416,R229309
R310121,R894299
R640012,R919351
R765854,R890770
R617620,R777297
R142199,R940512
R997094,R481811
R555457,R176823
R861254,R652103
R917955,R439338
R510285,R881911
R551448,R671539
R930362,R395793
R172776,R601875
R879331,R487152
R957853,R763625
R672024,R749799
R897265,R787729
R337726,R380429
R722433,R345779
R691994,R567940
R540547,R986971
R154416,R424048
R881030,R664148
R659996,R958468
R605847,R718642
R399551,R204179
R396849,R879893
R602001,R330968
R614298,R594821
R806327,R669835
R189206,R368572
R311935,R548273
R362499,R418866
R582660,R859691
R733399,R915642
R591409,R768751
R227650,R184617
R593368,R157548
R146759,R926266
R991242,R752553
R333271,R946924
R548398,R689657
R798547,R373958
R641096,R497010
R451444,R211411
R505452,R843300
R143527,R941280
R254531,R305660
R790221,R804072
R122171,R809063
R975998,R180343
R655163,R999379
R579463,R789449
R259965,R133767
R168386,R911966
R354439,R653240
R307990,R983676
R963918,R357348
R757950,R402247
R792405,R926960
R216584,R557116
R798881,R572640
R776894,R859018
R454715,R629388
R569267,R989117
R150385,R677070
R369314,R129913
R886554,R333570
R669109,R435841
R587570,R551618
R473545,R388606
R157200,R587606
R781889,R228775
R419071,R974539
R406349,R297015
R206899,R349523
R621478,R767925
R427473,R227416
R534838,R494813
R901592,R986867
R391659,R679161
R153440,R389938
R829160,R804631
R734991,R139637
R439735,R531002
R465594,R896498
R648953,R982728
R511670,R593320
R244524,R887308
R488136,R157964
R254054,R631830
R265082,R468669
R898483,R160487
R723438,R252120
R881235,R701716
R819518,R192777
R773524,R244519
R215982,R112607
R866844,R488360
R213244,R348757
R500149,R727547
R744616,R607071
R123702,R416974
R824358,R720516
R563143,R681635
R688074,R595826
R250659,R731384
R819020,R701450
R768528,R878706
R392683,R457811
R899857,R622591
R783943,R758396
R456776,R205228
R659674,R700918
R954405,R567440
R673717,R617956
R994253,R149485
R977920,R359991
R717510,R654225
R505853,R296829
R240187,R514299
R269599,R555616
R937457,R390854
R739896,R853733
R721999,R567699
R439520,R358295
R987352,R836311
R584637,R319567
R447640,R214661
R315542,R756302
R261689,R504212
R369179,R587054
R624334,R849711
R650688,R850801
R797935,R704003
R444656,R434066
R334509,R674576
R778758,R642244
R356172,R352361
R908953,R228440
R631061,R302403
R328844,R264453
R471070,R299594
R491678,R862020
R241426,R555604
R680958,R608251
R200671,R830759
R610618,R860159
R628239,R321962
R731588,R749601
R496032,R415918
R917666,R695695
R961072,R748948
R662292,R468000
R234950,R320526
R306297,R659241
R752261,R550249
R687701,R503304
R720217,R366278
R558121,R734292
R475824,R175158
R911257,R450270
R809991,R144515
R694477,R395712
R645786,R691292
R313786,R782102
R310682,R648323
R510998,R608629
R902929,R514351
R758480,R781816
R715045,R692638
R663098,R163887
R749403,R617786
R169679,R704599
R376591,R789216
R211856,R364813
R857070,R189382
R579411,R121086
R254351,R274686
R807415,R376695
R570127,R595250
R345870,R436752
R908178,R964059
R999296,R464445
R356238,R846900
R686218,R255139
R690175,R956632
R610204,R550187
R248939,R372653
R928766,R442980
R619523,R508205
R934689,R794205
R984274,R586637
R722695,R340114
R936510,R351607
R451004,R914481
R780437,R462234
R788943,R482008
R984395,R853661
R910205,R966876
R602390,R476794
R923950,R246566
R969991,R487905
R871856,R183116
R458929,R578661
R651953,R870385
R663162,R270353
R358022,R889671
R297813,R797593
R303913,R955314
R585625,R500952
R615981,R280603
R615442,R567896
R351861,R825579
R883211,R206071
R470086,R314056
R654681,R626782
R482377,R252373
R969962,R435592
R522800,R788843
R543856,R726037
R492838,R741367
R477241,R459258
R893513,R883275
R507634,R128885
R470447,R721206
R657049,R144899
R620813,R739028
R342370,R446784
R383677,R858908
R475722,R582297
R350620,R393451
R942226,R690903
R148746,R234296
R998651,R520440
R309073,R767421
R386036,R983276
R590512,R498160
R815458,R649441
R730423,R759041
R329860,R194083
R951453,R669310
R734082,R647917
R752424,R915208
R530437,R454575
R119586,R522839
R670074,R585359
R133599,R792651
R883819,R267047
R924623,R794074
R519812,R707367
R978379,R923348
R531409,R252242
R964754,R349654
R613145,R892177
R714951,R808648
R145959,R282497
R430236,R837688
R497388,R203971
R711028,R890043
R719515,R999474
R362125,R635888
