R715531,R967891
R321790,R481526
R295955,R193510
R465204,R959570
R390854,R432680
R878588,R315454
R156244,R848403
R262780,R898808
R397434,R349453
R622055,R386446
R681613,R857935
R423650,R906496
R467705,R856926
R329493,R422855
R167484,R680321
R118145,R361978
R400301,R535489
R371880,R981756
R298531,R368403
R822366,R436873
R811974,R329846
R264938,R104395
R955717,R677703
R963119,R671550
R902349,R785314
R956470,R218105
R109344,R647188
R928637,R400657
R707810,R973631
R139224,R363553
R545982,R854595
R714407,R245555
R404180,R815906
R935363,R362634
R508634,R303937
R108402,R904067
R194421,R734511
R460617,R154238
R473022,R327351
R251876,R417676
R336745,R408792
R585553,R144233
R595272,R758980
R475736,R991496
R554046,R893035
R660230,R452525
R329099,R464243
R317196,R453555
R605332,R927343
R386803,R461324
R345013,R347676
R251801,R604479
R298948,R946224
R760936,R946749
R984503,R797026
R873270,R511554
R882352,R467724
R685533,R410893
R576010,R234142
R283216,R507581
R100308,R373100
R900238,R274090
R273071,R469110
R681007,R828383
R776011,R126794
R218592,R249749
R410097,R200681
R716869,R596921
R983346,R693456
R913513,R517154
R886080,R410747
R837131,R430337
R449510,R595038
R442252,R759809
R715177,R726282
R498126,R364471
R372492,R247375
R189003,R611015
R776672,R340451
R775435,R957076
R759482,R900411
R349122,R708260
R643308,R251371
R572356,R898080
R514577,R597543
R677352,R790725
R822256,R735699
R311767,R844530
R335318,R870415
R958416,R969702
R252737,R989968
R224899,R885110
R527429,R577136
R967104,R391064
R834246,R631612
R868494,R102128
R697501,R769294
R321051,R609686
R367705,R576969
R924562,R838637
R986422,R224875
R161260,R927655
R273523,R254935
R517659,R266839
R656780,R868173
R243505,R718016
R567752,R827610
R673493,R119355
R687953,R482159
R796702,R738764
R408160,R787960
R139560,R193341
R999685,R424468
R515814,R818541
R406675,R795454
R761509,R140730
R506545,R672227
R901218,R903225
R926820,R743089
R907422,R486597
R302512,R678191
R516409,R744535
R122663,R702211
R259124,R496481
R719143,R539485
R177507,R738237
R762352,R466075
R669163,R199229
R493198,R806049
R546763,R804153
R692563,R313562
R717287,R282574
R962156,R221470
R798792,R765012
R973216,R519993
R277967,R737470
R215432,R816163
R158343,R953311
R631383,R767131
R463107,R413133
R821679,R634007
R291802,R993156
R312714,R294436
R898042,R657743
R548142,R200363
R675366,R182902
R362647,R856374
R307250,R857073
R477257,R971897
R279894,R765689
R891331,R793603
R971169,R962391
R182067,R809166
R357375,R314848
R596199,R372401
R659237,R971669
R293441,R790834
R132295,R262784
R432852,R289321
R822004,R956779
R351148,R806741
R708962,R581719
R204280,R100208
R496710,R220045
R195149,R471711
R527755,R771303
R859165,R523954
R117111,R937439
R953963,R569497
R132593,R738496
R293414,R884165
R987525,R400746
R618379,R130202
R713128,R221985
R790350,R828187
R823744,R334470
R622948,R421963
R971461,R977538
R659433,R612962
R977148,R163052
R181797,R784973
R750006,R626925
R656966,R781624
R959405,R191727
R604070,R482900
R411202,R569205
R298905,R696172
R761584,R785824
R643504,R465753
R815993,R930340
R291747,R297296
R903729,R966528
R904582,R400823
R201172,R646710
R379389,R133984
R360420,R670921
R489429,R984034
R424075,R475251
R439803,R913130
R968497,R807073
R640239,R822302
R872201,R275132
R397522,R205155
R371078,R747516
R431767,R810643
R514326,R292894
R432965,R632196
R387473,R903190
R493148,R479401
R813492,R886176
R167104,R799101
R508842,R582797
R375736,R554327
R860604,R258624
R917584,R992049
R941329,R736705
R251078,R166675
R580230,R390359
R933841,R397694
R614815,R726699
R603139,R106964
R616299,R881039
R870890,R305510
R419928,R398094
R586965,R399724
R248298,R147431
R176827,R338001
R641128,R337719
R582175,R240644
R888422,R634399
R883461,R759982
R561263,R884010
R829452,R563155
R727005,R231028
R845594,R323355
R768327,R363696
R488554,R448999
R712484,R626122
R813725,R784157
R401495,R426585
R787263,R652176
R379715,R222960
R179334,R120705
R959015,R764443
R661675,R354304
R408975,R238596
R525093,R663117
R840461,R755495
R633607,R620709
R870219,R231997
R423614,R105578
R909398,R742720
R653568,R614027
R643252,R946745
R430907,R383975
R433864,R116253
R658117,R191325
R417293,R177779
R921772,R614136
R931576,R167693
R611746,R866901
R389565,R723769
R956894,R917739
R166645,R685250
R814688,R665302
R997813,R942116
R623401,R993363
R402497,R307604
R666389,R555981
R721129,R856432
R309349,R967558
R866696,R460269
R115119,R805782
R803789,R266659
R569398,R675605
R486315,R785018
R957496,R340541
R778623,R891878
R942716,R861900
R851811,R492993
R344898,R999002
R619989,R531385
R182066,R676858
R368457,R271603
R566632,R569023
R187445,R317006
R118510,R708856
R186339,R252664
R530391,R444270
R859838,R303246
R987967,R293911
R343194,R959167
R208815,R508558
R189095,R688535
R587277,R784502
R665449,R123964
R934535,R307195
R993184,R343183
R497620,R143932
R279485,R494307
R977755,R164102
R992979,R484990
R315145,R696612
R201239,R313368
R958668,R699058
R832942,R986220
R879195,R250527
R165130,R956042
R337445,R660713
R769259,R750442
R815583,R378346
R457893,R952358
R707247,R233232
R204918,R472989
R896199,R774206
R685066,R115305
R622243,R553801
R269159,R315524
R435250,R285041
R635132,R572515
R456370,R633398
R680664,R913389
R128300,R826325
R402279,R509858
R288846,R651161
R622623,R594447
R527445,R731341
R799964,R845185
R720008,R219990
R858245,R878255
R343724,R940912
R958282,R184677
R640139,R837681
R990866,R733983
R977878,R630492
R984031,R674554
R405278,R501258
R870472,R358435
R298668,R637376
R371076,R839336
R382458,R102310
R635618,R910373
R748964,R916085
R270833,R623653
R654076,R531858
R949041,R249363
R171434,R319661
R312743,R950639
R397934,R147460
R117807,R949006
R755070,R183824
R958109,R386497
R876042,R896422
R555037,R641123
R442333,R910297
R224619,R302279
R549576,R947936
R622756,R578296
R635447,R963756
R193604,R593965
R348440,R331591
R599633,R809787
R627412,R899027
R758100,R678511
R845525,R902765
R433260,R175387
R235438,R814555
R504102,R865710
R682819,R446858
R256062,R306254
R741289,R446172
R523876,R649270
R896940,R229459
R145187,R137102
R173659,R174857
R475225,R838753
R740242,R783823
R809366,R149215
R816577,R349332
R397131,R967798
R501457,R694560
R180896,R193536
R108919,R964546
R144837,R484919
R905742,R867060
R805457,R302365
R285349,R196922
R234446,R976107
R723029,R368602
R538909,R916620
R670974,R743055
R253730,R462306
R178288,R876789
R467728,R101225
R922416,R619912
R528713,R332876
R425882,R569478
R405064,R788706
R943907,R851647
R113510,R430670
R545017,R579359
R186458,R316630
R773659,R580631
R226863,R263630
R453930,R833363
R846347,R226418
R579949,R764960
R905180,R792620
R320572,R664599
R957015,R506043
R261739,R193309
R118387,R782743
R759015,R446507
R144849,R501449
R695109,R910643
R384006,R380854
R725222,R223386
R997075,R965312
R311248,R841431
R235448,R776603
R947820,R114960
R718705,R396037
R528629,R498212
R524393,R475310
R257650,R986487
R225405,R835446
R496018,R464991
R865416,R760450
R676754,R511667
R361654,R818347
R518793,R981962
R426926,R555103
R568297,R453656
R772030,R687916
R101662,R142912
R235228,R638306
R875716,R486393
R599585,R122635
R197103,R496458
R928711,R548194
R912260,R704888
R790686,R882074
R305330,R999185
R408085,R340164
R462735,R839071
R751145,R174456
R908163,R959120
R301920,R959540
R184573,R849671
R128202,R188747
R286845,R336522
R222561,R613280
R854255,R171465
R686747,R715463
R838822,R534922
R276755,R562693
R539526,R214939
R461015,R776893
R214265,R366402
R156594,R806216
R469419,R149556
R206687,R820969
R578046,R353831
R957942,R292351
R363866,R885925
R419807,R161937
R233417,R860824
R223949,R261348
R778357,R320115
R797954,R169924
R226752,R805189
R394864,R648596
R768387,R718431
R523582,R244778
R779722,R671122
R127069,R950271
R285287,R957370
R222019,R243993
R239711,R282572
R156597,R965005
R373053,R668510
R113450,R121034
R722275,R376482
R259565,R460245
R294008,R797374
R543290,R694755
R953058,R943615
R802265,R708170
R272216,R358661
R531906,R831614
R649565,R937223
R724245,R591645
R328652,R873212
R362895,R938082
R462005,R646333
R455813,R633541
R217662,R400355
R401648,R273651
R697952,R438469
R351555,R759032
R282557,R289023
R863482,R916449
R663060,R298202
R723119,R535822
R176889,R331723
R774209,R859536
R416507,R774252
R706739,R830151
R643918,R699386
R748019,R274935
R751763,R127378
R326275,R979367
R496967,R320357
R487213,R633804
R175271,R804052
R406545,R574301
R760008,R936302
R459904,R625264
R385478,R211166
R191321,R946064
R560777,R841187
R684218,R770470
R529301,R526849
R874681,R781415
R952468,R156209
R829381,R149703
R620759,R986474
R893680,R172512
R922594,R469182
R791322,R397376
R858149,R136552
R645792,R222985
R448867,R240960
R531567,R553762
R786853,R855809
R127314,R603515
R874488,R916049
R206079,R788103
R716034,R215108
R247734,R286999
R489989,R629526
R959289,R728613
R465787,R246004
R939907,R584901
R661746,R685704
R426890,R505629
R390621,R922528
R611514,R407646
R247535,R718043
R592657,R219472
R337859,R892019
R191979,R672347
R250216,R821915
R708243,R584423
R306671,R136397
R912428,R637945
R276957,R449515
R687693,R239756
R286454,R440690
R356416,R628220
R670201,R202652
R314826,R734660
R720397,R889947
R628064,R223827
R628969,R374284
R151970,R640281
R194159,R701709
R563834,R868990
R951716,R622079
R485601,R714569
R234918,R495657
R198429,R282849
R160936,R384313
R446860,R139759
R850105,R484514
R278075,R282228
R626489,R200341
R745143,R775799
R387900,R576056
R466648,R670216
R324423,R536895
R792053,R466377
R502629,R225434
R136487,R418955
R897124,R494754
R623700,R139910
R716467,R397735
R722724,R992636
R407979,R966504
R824087,R957853
R779262,R757479
R548699,R515854
R797733,R352860
R664655,R443248
R530913,R934624
R703515,R205911
R101250,R669428
R882524,R121314
R666870,R702534
R168406,R129094
R971809,R411292
R613123,R704015
R611715,R649232
R846780,R912393
R459046,R237787
R158207,R756329
R357762,R647409
R922770,R154505
R929493,R913472
R619153,R914628
R722017,R418372
R815616,R113060
R300084,R724824
R636428,R634043
R334570,R321360
R597449,R385849
R600517,R316662
R702847,R996925
R231456,R479317
R659039,R535397
R750468,R117492
R216114,R545311
R768420,R584311
R208167,R671305
R596547,R925807
R829347,R361736
R965766,R313219
R148968,R421469
R245977,R270653
R386595,R936292
R112982,R864449
R928609,R473825
R920448,R468787
R821224,R965407
R988309,R102778
R609580,R261291
R379422,R850819
R868469,R956305
R583364,R120203
R173740,R351277
R400941,R827767
R587125,R641509
R581739,R653287
R950142,R912899
R292865,R649630
R840169,R828406
R741844,R990008
R998591,R244399
R544598,R309633
R172765,R981969
R714111,R571756
R510287,R358503
R294023,R762282
R649928,R680163
R245215,R879880
R553708,R371759
R273001,R352571
R879829,R659371
R229275,R677023
R795074,R174125
R289867,R748235
R716070,R965053
R339548,R850027
R885021,R381908
R785780,R566712
R923440,R665169
R420175,R871458
R779298,R252126
R908261,R232499
R283959,R759610
R682172,R611579
R916375,R433216
R858083,R281845
R672893,R437768
R778222,R322125
R454751,R173800
R105442,R790168
R611605,R428752
R979693,R182967
R609020,R684018
R267375,R314415
R290964,R492252
R891326,R869743
R148660,R203943
R786721,R874174
R328930,R835650
R616296,R734372
R208606,R194267
R611765,R443666
R411159,R995022
R819389,R456308
R438513,R149886
R943851,R488728
R681728,R576630
R260054,R876500
R227663,R465913
R970063,R162791
R334610,R523937
R237918,R101383
R222617,R440774
R743647,R243972
R378015,R473097
R524016,R739866
R250166,R959460
R686359,R424362
R442218,R416204
R107228,R736625
R306026,R638540
R265890,R294778
R323419,R655817
R984504,R531163
R901030,R583807
R150768,R969146
R971675,R514115
R539269,R322610
R735771,R183683
R779265,R893424
R872063,R726779
R161595,R109370
R715348,R647479
R420572,R152530
R128775,R475093
R526254,R817301
R947379,R479139
R703736,R982713
R260718,R881793
R867236,R954511
R670117,R453239
R900526,R193938
R556309,R872147
R731643,R995928
R745047,R126166
R135758,R691875
R846921,R128282
R731483,R814895
R225953,R766004
R413688,R423096
R251015,R543864
R125199,R836265
R223296,R117958
R473520,R334171
R221385,R783067
R302805,R899769
R747728,R416065
R995584,R663983
R556429,R647328
R273581,R285094
R470240,R930749
R353073,R793873
R306551,R929887
R315477,R534076
R547016,R943785
R238641,R643728
R309971,R196118
R939268,R452337
R676685,R761353
R903279,R343976
R888828,R203950
R825918,R443059
R448697,R888887
R680142,R280842
R549909,R508281
R599692,R403003
R217487,R733369
R818613,R876494
R426336,R911827
R316092,R479514
R479823,R973068
R362034,R708063
R760951,R951253
R417419,R449665
R305260,R692734
R570122,R639269
R364789,R869067
R335076,R642968
R515503,R461077
R226718,R106698
R983319,R117739
R563569,R976928
R510742,R523969
R368046,R245183
R384959,R805153
R713813,R594782
R202487,R899442
R708010,R118422
R599028,R464308
R581439,R257511
R677818,R527893
R586966,R160868
R898246,R296383
R884790,R540453
R921303,R367376
R474516,R566840
R876942,R354201
R202405,R828713
R533307,R420033
R560800,R797097
R120371,R207087
R987975,R193102
R794078,R947490
R315645,R840953
R881943,R911765
R296709,R296871
R518394,R184038
R204633,R713570
R776180,R242114
R808945,R494759
R607152,R678854
R569183,R156782
R532548,R812707
R654212,R387486
R777626,R822079
R896815,R166220
R875238,R529616
R267249,R591014
R678755,R656643
R791548,R323148
R188144,R745176
R458702,R602676
R848250,R635209
R787549,R927537
R473725,R962411
R426260,R413967
R666002,R641880
R569269,R244162
R721372,R688918
R685943,R631859
R180311,R907539
R909493,R983904
R813454,R910519
R603650,R705795
R469585,R224072
R778558,R832416
R740902,R309243
R849828,R330466
R558414,R266736
R626018,R489085
R283996,R269996
R720507,R533474
R916342,R869305
R409829,R329695
R730696,R769911
R277461,R213659
R484394,R706409
R446387,R899350
R818670,R758227
R614211,R961487
R226438,R234817
R573068,R429749
R436514,R867765
R587886,R443826
R923372,R649472
R831768,R957471
R498983,R477205
R682380,R285626
R145488,R293505
R335426,R212743
R939810,R629972
R167682,R902211
R488216,R873598
R588705,R738596
R238959,R510486
R578068,R573012
R764666,R181309
R168730,R440426
R154928,R264823
R994072,R846389
R429786,R861222
R854245,R437714
R151361,R900135
R238492,R589819
R169173,R419189
R378822,R305435
R128629,R276045
R978062,R985361
R250448,R291469
R493738,R763326
R670193,R786997
R979167,R139918
R777535,R162521
R904592,R552108
R861269,R232460
R315466,R951237
R696018,R234040
R803227,R971557
R378965,R734814
R167969,R232895
R111658,R174757
R278481,R834747
R292050,R955826
R547551,R135647
R851591,R971729
R529104,R744273
R654582,R151185
R441497,R894492
R781719,R308671
R249386,R306473
R987450,R701537
R254377,R940454
R843402,R334519
R508975,R745786
R974864,R654443
R440240,R646258
R825466,R784534
R275161,R450508
R862176,R836504
R423823,R629203
R348853,R380709
R123212,R887886
R703365,R490070
R199538,R586452
R617817,R604573
R264543,R423014
R709680,R210429
R202158,R555252
R580366,R966303
R481699,R989512
R685511,R581015
R158131,R608399
R163497,R998329
R402968,R140585
R788787,R860285
R961184,R355674
R345938,R273330
R112992,R126460
R809296,R347782
R265918,R383718
R688719,R758786
R756408,R410580
R229687,R704966
R951345,R928838
R984027,R869153
R608368,R520982
R996499,R172614
R595692,R685017
R202027,R159194
R599394,R564951
R213167,R894876
R297962,R300064
R491684,R287235
R874023,R396919
R911704,R161494
R369411,R743925
R117605,R487809
R258087,R200629
R395715,R394856
R119809,R207185
R510576,R827809
R292801,R191376
R716044,R256588
R660294,R331116
R679785,R917640
R289903,R951735
R796638,R519231
R430175,R563653
R471675,R947623
R678138,R716134
R689577,R729972
R666599,R780391
R200116,R397813
R680394,R701999
R227021,R857463
R447734,R559348
R371053,R471027
R265298,R746814
R914869,R470336
R764412,R901575
R376788,R688576
R537049,R412541
R220274,R110450
R449186,R948507
R974701,R229380
R669079,R874164
R279289,R512680
R807498,R398423
R567136,R735533
R216526,R555764
R988841,R800789
R665409,R392993
R406024,R822821
R527596,R458642
R504785,R622998
R930470,R697316
R992235,R625245
R142909,R789859
R128530,R347883
R570407,R919024
R110166,R922264
R177582,R667823
R136110,R672812
R860167,R659559
R321546,R944004
R800866,R294385
R629436,R357306
R127449,R926960
R332509,R531239
R116537,R135914
R989764,R310796
R668110,R448198
R501266,R152905
R853591,R294796
R627982,R879839
R595247,R845911
R789255,R908755
R562769,R690732
R216464,R821809
R382614,R207181
R656948,R536813
R921597,R109225
R313745,R775604
R727038,R840472
R169759,R754361
R654343,R670440
R489400,R355098
R359935,R667463
R777504,R391710
R870162,R697152
R894858,R100206
R700558,R460070
R420132,R255977
R851953,R255017
R341120,R317706
R414070,R639215
R515277,R344386
R341879,R905209
R308347,R144765
R482172,R998424
R866087,R884137
R804478,R908724
R356889,R858182
R117896,R384983
R942741,R570440
R110997,R199065
R138530,R687050
R116990,R282798
R674349,R682373
R619007,R179035
R475449,R514787
R677975,R548827
R887680,R339052
R663115,R139565
R839766,R581779
R490583,R139350
R406572,R564177
R183666,R929323
R127890,R566672
R901011,R808425
R609405,R432464
R444953,R754083
R571087,R756762
R562261,R460736
R726778,R562831
R691494,R520861
R381106,R779675
R110866,R975141
R172155,R838951
R577743,R573355
R217586,R919588
R674285,R789350
R302869,R843544
R472055,R241656
R286361,R537427
R403514,R891678
R674203,R685376
R853534,R699754
R450892,R281248
R957670,R726511
R153140,R264803
R663170,R719479
R193937,R968655
R832033,R346628
R299156,R134741
R729211,R757565
R732746,R167343
R303938,R657814
R387272,R405745
R610575,R525133
R910648,R969253
R722774,R931714
R884977,R207355
R702088,R395735
R716730,R876885
R536321,R524724
R689316,R470623
R914718,R190697
R256203,R236501
R574087,R652685
R240420,R669223
R230186,R376723
R921839,R233280
R705106,R631745
R861010,R519492
R791201,R520284
R210936,R537219
R252882,R480768
R925756,R642434
R675362,R126207
R316086,R434430
R289770,R265151
R229157,R953904
R637355,R603917
R176058,R485049
R568452,R378533
R187695,R291476
R392685,R970628
R853344,R483730
R257835,R937876
R992846,R320087
R326361,R839019
R196104,R547621
R747135,R482041
R911937,R194757
R739843,R288597
R416887,R563175
R959186,R222766
R822829,R905783
R936585,R432279
R356117,R983656
R815043,R641379
R418395,R657318
R510645,R632975
R430867,R881697
R461641,R597406
R735716,R298964
R944531,R509567
R413786,R324578
R471886,R520469
R948276,R627288
R449246,R202765
R741978,R658271
R846752,R590227
R837197,R130041
R875663,R614870
R293291,R283399
R682037,R514040
R416053,R684285
R878269,R183294
R829119,R204879
R267359,R355308
R500863,R730458
R783868,R655142
R574578,R359750
R605064,R145021
R584525,R550571
R960980,R737242
R116594,R613925
R370191,R241856
R785292,R355416
R439898,R590963
R276748,R223297
R224246,R570386
R973170,R620953
R739485,R224907
R386700,R155658
R764711,R498424
R100460,R496640
R786669,R183809
R471319,R466740
R813599,R331841
R640841,R939892
R224466,R263802
R805913,R220733
R155049,R952565
R344702,R903639
R844670,R496991
R779111,R680813
R655827,R854092
